Country,Ranking,GDP,Building_and_Location,Year,Stories,height_feet,Chief_architect
United States,1,15684800,"NationsBank Center, Houston",1984,56,780,
United States,1,15684800,"JP Morgan Chase Tower, Houston",1982,75,1000,
United States,1,15684800,"Aon Center, Los Angeles",1974,62,858,
United States,1,15684800,"Two Prudential Plaza, Chicago",1990,64,995,
United States,1,15684800,"One Chase Manhattan Plaza, New York",1961,60,813,
United States,1,15684800,"Willis Tower (formerly Sears Tower), Chicago",1974,110,1450,Bruce Graham (SOM)
United States,1,15684800,"Empire State Building, New York",1931,102,1250,"Shreve, Lamb and Harmon"
United States,1,15684800,"Chrysler Building, New York",1930,77,1046,William Van Alen
United States,1,15684800,"Trump International Hotel and Tower, Chicago, USA",2009,98,1389,"Adrian Smith, SOM"
United States,1,15684800,"Heritage Plaza, Houston",1987,52,762,
United States,1,15684800,"U.S. Bank Tower, Los Angeles",1990,75,1018,
United States,1,15684800,"Devon Tower, Oklahoma City, Oklahoma, USA",2012,52,844,Pickard Chilton Architects Inc.
United States,1,15684800,"One Atlantic Center, Atlanta",1988,50,820,
United States,1,15684800,"AT&T Corporate Center, Chicago",1989,60,1007,
United States,1,15684800,"U.S. Steel Tower, Pittsburgh",1970,64,841,
United States,1,15684800,"One Liberty Place, Philadelphia",1987,61,945,
United States,1,15684800,"Bank of America Center, Seattle",1985,76,937,
United States,1,15684800,"Aon Centre, Chicago",1973,80,1136,
United States,1,15684800,"The Center, Hong Kong",1998,73,1135,Dennis Lau & Ng Chun Man Architects & Engineers
United States,1,15684800,"One Ninety One Peachtree      Tower, Atlanta",1991,50,770,
United States,1,15684800,"John Hancock Center, Chicago",1969,100,1127,"Bruce Graham, SOM"
United States,1,15684800,"Wells Fargo Plaza,      Houston",1983,71,972,
United States,1,15684800,"Bank of America, Atlanta",1993,55,1023,
United States,1,15684800,"New York By Gehry (8 Spruce Street; Beekman Tower), New York City",2011,76,870,Frank Gehry Partners
United States,1,15684800,"1100 Louisiana Building, Houston",1980,55,748,
United States,1,15684800,"World Trade Center Twin Towers, New York      Destroyed by terrorists 9/11/01",1973,110,1368,Minoru Yamaski
United States,1,15684800,"Worldwide Plaza, New York",1989,47,778,
United States,1,15684800,"Carnegie Hall Tower, New York",1991,60,757,
United States,1,15684800,"Aqua Tower, Chicago, Illinois",2010,82,819,Studio Gang Architects
United States,1,15684800,"Equitable Tower, New York",1986,51,752,
United States,1,15684800,"John Hancock Tower, Boston",1976,60,788,I. M. Pei
United States,1,15684800,"One Penn Plaza, New York",1972,57,750,
United States,1,15684800,"900 North Michigan Ave., Chicago",1989,66,871,
United States,1,15684800,"Bank One Tower, Indianapolis",1989,48,811,
United States,1,15684800,"SunTrust Plaza, Atlanta",1992,60,871,
United States,1,15684800,"Two Liberty Place, Philadelphia",1990,58,848,
United States,1,15684800,"Two California Plaza, Los Angeles",1992,52,750,
United States,1,15684800,"Park Tower, Chicago",2000,67,844,
United States,1,15684800,"Bank of America Center, San Francisco",1969,52,779,
United States,1,15684800,"U.S. Bank Place, Minneapolis",1992,58,774,
United States,1,15684800,"Key Tower, Cleveland",1991,57,947,Cesar Pelli
United States,1,15684800,"Water Tower Place, Chicago",1976,74,859,
United States,1,15684800,"Mellon Bank Center, Philadelphia",1991,54,792,
United States,1,15684800,"Chase Tower (One First National Plaza, First National Bank Building, Bank One Plaza), Chicago, Illinois",1969,60,850,C.F. Murphy Associates
United States,1,15684800,"Transamerica Corporate Headquarters, San Francisco",1972,48,853,
United States,1,15684800,"Bank One Center, Dallas",1987,60,787,
United States,1,15684800,"GE Building (30 Rock; RCA Building), New York",1933,70,850,Raymond Hood
United States,1,15684800,"Gas Company Tower, Los Angeles",1991,54,749,
United States,1,15684800,"Bank of America Plaza, Dallas",1985,72,921,
United States,1,15684800,"Norwest Center, Minneapolis",1988,57,773,
United States,1,15684800,"Bloomberg Tower, New York",2004,55,806,
United States,1,15684800,"IDS Center, Minneapolis",1973,52,775,
United States,1,15684800,"The Trump Building, 40 Wall Street, New York",1930,72,927,
United States,1,15684800,"Conde Nast Building, New York",1999,48,809,
United States,1,15684800,"1251 Avenue of the Americas, New York",1972,54,750,
United States,1,15684800,"Three First National Plaza, Chicago",1981,57,753,
United States,1,15684800,"Prudential Center, Boston",1964,52,750,
United States,1,15684800,"MetLife, New York",1963,59,808,
United States,1,15684800,"Woolworth Building, New York",1913,57,792,Cass Gilbert
Vietnam,56,141669,"Keangnam Hanoi Landmark Tower, Hanoi, Vietnam",2012,72,1102,"Hellmuth, Obata & Kassabaum"
